sessionStart,sessionEnd,durationHours
2025-03-16T00:38:16.639Z,2025-03-16T00:38:19.852Z,0.00
2025-03-16T00:38:19.852Z,2025-03-16T00:38:58.853Z,0.01
2025-03-16T00:38:58.853Z,2025-03-16T00:42:15.590Z,0.05
2025-03-16T00:42:15.590Z,2025-03-16T00:43:48.029Z,0.03
2025-03-16T00:43:48.029Z,2025-03-16T00:43:52.889Z,0.00
2025-03-16T00:43:52.889Z,2025-03-16T00:44:15.817Z,0.01
2025-03-16T00:44:15.817Z,2025-03-16T00:56:05.678Z,0.20
2025-03-16T00:56:05.678Z,2025-03-16T01:02:06.142Z,0.10
2025-03-16T01:02:06.142Z,2025-03-16T01:05:48.299Z,0.06
2025-03-16T01:05:48.299Z,2025-03-16T02:28:45.674Z,1.38
2025-03-16T02:28:45.674Z,2025-03-16T02:30:29.126Z,0.03
2025-03-16T02:30:29.126Z,2025-03-16T02:30:52.299Z,0.01
2025-03-16T02:30:52.299Z,2025-03-16T02:31:12.391Z,0.01
2025-03-16T02:31:12.391Z,2025-03-16T02:32:12.751Z,0.02
2025-03-16T02:32:12.751Z,2025-03-16T02:33:26.852Z,0.02
2025-03-16T02:33:26.852Z,2025-03-16T02:34:16.358Z,0.01
2025-03-16T02:34:16.358Z,2025-03-16T02:34:45.081Z,0.01
2025-03-16T02:34:45.081Z,2025-03-16T02:35:26.920Z,0.01
2025-03-16T02:35:26.920Z,2025-03-16T02:35:58.310Z,0.01
2025-03-16T02:35:58.310Z,2025-03-16T02:37:21.600Z,0.02
2025-03-16T02:37:21.600Z,2025-03-16T02:37:25.329Z,0.00
2025-03-16T02:37:25.329Z,2025-03-16T02:38:08.763Z,0.01
2025-03-16T02:38:08.763Z,2025-03-16T02:55:46.909Z,0.29
2025-03-16T02:55:46.909Z,2025-03-16T03:03:00.817Z,0.12
2025-03-16T03:03:00.817Z,2025-03-16T03:03:25.935Z,0.01
2025-03-16T03:03:25.935Z,2025-03-16T03:06:57.512Z,0.06
2025-03-16T03:06:57.512Z,2025-03-16T03:11:55.680Z,0.08
2025-03-16T03:11:55.680Z,2025-03-16T03:15:28.316Z,0.06
2025-03-16T03:15:28.316Z,2025-03-16T03:16:36.780Z,0.02
2025-03-16T03:16:36.780Z,2025-03-16T03:18:12.259Z,0.03
2025-03-16T03:18:12.259Z,2025-03-16T03:21:15.160Z,0.05
2025-03-16T03:21:15.160Z,2025-03-16T03:25:05.244Z,0.06
2025-03-16T03:25:05.244Z,2025-03-16T03:25:42.127Z,0.01
2025-03-16T03:25:42.127Z,2025-03-16T03:31:49.187Z,0.10
2025-03-16T03:31:49.187Z,2025-03-16T03:48:01.873Z,0.27
2025-03-16T03:48:01.873Z,2025-03-16T03:48:07.465Z,0.00
2025-03-16T03:48:07.465Z,2025-03-16T03:56:01.322Z,0.13
2025-03-16T03:56:01.322Z,2025-03-16T03:56:16.613Z,0.00
2025-03-16T03:56:16.613Z,2025-03-16T03:58:30.252Z,0.04
2025-03-16T03:58:30.252Z,2025-03-16T04:00:26.858Z,0.03
2025-03-16T04:00:26.858Z,2025-03-16T04:36:34.112Z,0.60
2025-03-16T04:36:34.112Z,2025-03-16T05:12:20.950Z,0.60
